survey_round,perception_category,perception_type,response_category,response_percentage
2024-07-01,the General Economic Situation,Current Perception,Increased,36.3
2024-09-01,the General Economic Situation,Current Perception,Increased,37.3
2024-11-01,the General Economic Situation,Current Perception,Increased,35.8
2025-01-01,the General Economic Situation,Current Perception,Increased,34.9
2025-03-01,the General Economic Situation,Current Perception,Increased,34.7
2025-05-01,the General Economic Situation,Current Perception,Increased,35.7
2025-07-01,the General Economic Situation,Current Perception,Increased,34.2
2024-07-01,the General Economic Situation,Current Perception,Remained Same,22.4
2024-09-01,the General Economic Situation,Current Perception,Remained Same,21.1
2024-11-01,the General Economic Situation,Current Perception,Remained Same,21.3
2025-01-01,the General Economic Situation,Current Perception,Remained Same,22.1
2025-03-01,the General Economic Situation,Current Perception,Remained Same,24.7
2025-05-01,the General Economic Situation,Current Perception,Remained Same,22.4
2025-07-01,the General Economic Situation,Current Perception,Remained Same,27.5
2024-07-01,the General Economic Situation,Current Perception,Decreased,41.3
2024-09-01,the General Economic Situation,Current Perception,Decreased,41.6
2024-11-01,the General Economic Situation,Current Perception,Decreased,42.9
2025-01-01,the General Economic Situation,Current Perception,Decreased,43.0
2025-03-01,the General Economic Situation,Current Perception,Decreased,40.6
2025-05-01,the General Economic Situation,Current Perception,Decreased,41.9
2025-07-01,the General Economic Situation,Current Perception,Decreased,38.3
2024-07-01,the General Economic Situation,Current Perception,Net Response,-5.0
2024-09-01,the General Economic Situation,Current Perception,Net Response,-4.4
2024-11-01,the General Economic Situation,Current Perception,Net Response,-7.1
2025-01-01,the General Economic Situation,Current Perception,Net Response,-8.0
2025-03-01,the General Economic Situation,Current Perception,Net Response,-5.9
2025-05-01,the General Economic Situation,Current Perception,Net Response,-6.2
2025-07-01,the General Economic Situation,Current Perception,Net Response,-4.2
2024-07-01,the General Economic Situation,One year ahead Expectation,Will Increase,55.0
2024-09-01,the General Economic Situation,One year ahead Expectation,Will Increase,55.5
2024-11-01,the General Economic Situation,One year ahead Expectation,Will Increase,54.9
2025-01-01,the General Economic Situation,One year ahead Expectation,Will Increase,55.2
2025-03-01,the General Economic Situation,One year ahead Expectation,Will Increase,56.6
2025-05-01,the General Economic Situation,One year ahead Expectation,Will Increase,57.9
2025-07-01,the General Economic Situation,One year ahead Expectation,Will Increase,55.7
2024-07-01,the General Economic Situation,One year ahead Expectation,Will Remain Same,16.0
2024-09-01,the General Economic Situation,One year ahead Expectation,Will Remain Same,16.0
2024-11-01,the General Economic Situation,One year ahead Expectation,Will Remain Same,17.2
2025-01-01,the General Economic Situation,One year ahead Expectation,Will Remain Same,15.8
2025-03-01,the General Economic Situation,One year ahead Expectation,Will Remain Same,14.9
2025-05-01,the General Economic Situation,One year ahead Expectation,Will Remain Same,13.4
2025-07-01,the General Economic Situation,One year ahead Expectation,Will Remain Same,20.9
2024-07-01,the General Economic Situation,One year ahead Expectation,Will Decrease,29.0
2024-09-01,the General Economic Situation,One year ahead Expectation,Will Decrease,28.6
2024-11-01,the General Economic Situation,One year ahead Expectation,Will Decrease,27.9
2025-01-01,the General Economic Situation,One year ahead Expectation,Will Decrease,29.0
2025-03-01,the General Economic Situation,One year ahead Expectation,Will Decrease,28.5
2025-05-01,the General Economic Situation,One year ahead Expectation,Will Decrease,28.7
2025-07-01,the General Economic Situation,One year ahead Expectation,Will Decrease,23.4
2024-07-01,the General Economic Situation,One year ahead Expectation,Net Response,26.1
2024-09-01,the General Economic Situation,One year ahead Expectation,Net Response,26.9
2024-11-01,the General Economic Situation,One year ahead Expectation,Net Response,27.0
2025-01-01,the General Economic Situation,One year ahead Expectation,Net Response,26.2
2025-03-01,the General Economic Situation,One year ahead Expectation,Net Response,28.0
2025-05-01,the General Economic Situation,One year ahead Expectation,Net Response,29.2
2025-07-01,the General Economic Situation,One year ahead Expectation,Net Response,32.3
2024-07-01,Employment,Current Perception,Increased,34.5
2024-09-01,Employment,Current Perception,Increased,35.5
2024-11-01,Employment,Current Perception,Increased,34.6
2025-01-01,Employment,Current Perception,Increased,34.5
2025-03-01,Employment,Current Perception,Increased,35.5
2025-05-01,Employment,Current Perception,Increased,36.2
2025-07-01,Employment,Current Perception,Increased,32.6
2024-07-01,Employment,Current Perception,Remained Same,23.0
2024-09-01,Employment,Current Perception,Remained Same,21.8
2024-11-01,Employment,Current Perception,Remained Same,23.0
2025-01-01,Employment,Current Perception,Remained Same,22.7
2025-03-01,Employment,Current Perception,Remained Same,23.0
2025-05-01,Employment,Current Perception,Remained Same,21.8
2025-07-01,Employment,Current Perception,Remained Same,28.2
2024-07-01,Employment,Current Perception,Decreased,42.6
2024-09-01,Employment,Current Perception,Decreased,42.8
2024-11-01,Employment,Current Perception,Decreased,42.4
2025-01-01,Employment,Current Perception,Decreased,42.7
2025-03-01,Employment,Current Perception,Decreased,41.5
2025-05-01,Employment,Current Perception,Decreased,42.1
2025-07-01,Employment,Current Perception,Decreased,39.2
2024-07-01,Employment,Current Perception,Net Response,-8.1
2024-09-01,Employment,Current Perception,Net Response,-7.3
2024-11-01,Employment,Current Perception,Net Response,-7.8
2025-01-01,Employment,Current Perception,Net Response,-8.2
2025-03-01,Employment,Current Perception,Net Response,-6.1
2025-05-01,Employment,Current Perception,Net Response,-5.9
2025-07-01,Employment,Current Perception,Net Response,-6.7
2024-07-01,Employment,One year ahead Expectation,Will Increase,54.2
2024-09-01,Employment,One year ahead Expectation,Will Increase,54.2
2024-11-01,Employment,One year ahead Expectation,Will Increase,54.6
2025-01-01,Employment,One year ahead Expectation,Will Increase,54.7
2025-03-01,Employment,One year ahead Expectation,Will Increase,56.4
2025-05-01,Employment,One year ahead Expectation,Will Increase,56.9
2025-07-01,Employment,One year ahead Expectation,Will Increase,53.6
2024-07-01,Employment,One year ahead Expectation,Will Remain Same,18.4
2024-09-01,Employment,One year ahead Expectation,Will Remain Same,18.9
2024-11-01,Employment,One year ahead Expectation,Will Remain Same,18.9
2025-01-01,Employment,One year ahead Expectation,Will Remain Same,18.3
2025-03-01,Employment,One year ahead Expectation,Will Remain Same,16.5
2025-05-01,Employment,One year ahead Expectation,Will Remain Same,16.1
2025-07-01,Employment,One year ahead Expectation,Will Remain Same,23.8
2024-07-01,Employment,One year ahead Expectation,Will Decrease,27.4
2024-09-01,Employment,One year ahead Expectation,Will Decrease,26.9
2024-11-01,Employment,One year ahead Expectation,Will Decrease,26.5
2025-01-01,Employment,One year ahead Expectation,Will Decrease,27.0
2025-03-01,Employment,One year ahead Expectation,Will Decrease,27.1
2025-05-01,Employment,One year ahead Expectation,Will Decrease,27.0
2025-07-01,Employment,One year ahead Expectation,Will Decrease,22.6
2024-07-01,Employment,One year ahead Expectation,Net Response,26.8
2024-09-01,Employment,One year ahead Expectation,Net Response,27.3
2024-11-01,Employment,One year ahead Expectation,Net Response,28.1
2025-01-01,Employment,One year ahead Expectation,Net Response,27.6
2025-03-01,Employment,One year ahead Expectation,Net Response,29.3
2025-05-01,Employment,One year ahead Expectation,Net Response,29.8
2025-07-01,Employment,One year ahead Expectation,Net Response,31.0
2024-07-01,Price Level,Current Perception,Increased,93.3
2024-09-01,Price Level,Current Perception,Increased,93.3
2024-11-01,Price Level,Current Perception,Increased,94.3
2025-01-01,Price Level,Current Perception,Increased,93.0
2025-03-01,Price Level,Current Perception,Increased,91.0
2025-05-01,Price Level,Current Perception,Increased,90.9
2025-07-01,Price Level,Current Perception,Increased,90.3
2024-07-01,Price Level,Current Perception,Remained Same,6.0
2024-09-01,Price Level,Current Perception,Remained Same,5.8
2024-11-01,Price Level,Current Perception,Remained Same,5.0
2025-01-01,Price Level,Current Perception,Remained Same,6.1
2025-03-01,Price Level,Current Perception,Remained Same,7.8
2025-05-01,Price Level,Current Perception,Remained Same,6.6
2025-07-01,Price Level,Current Perception,Remained Same,6.4
2024-07-01,Price Level,Current Perception,Decreased,0.7
2024-09-01,Price Level,Current Perception,Decreased,0.9
2024-11-01,Price Level,Current Perception,Decreased,0.7
2025-01-01,Price Level,Current Perception,Decreased,0.9
2025-03-01,Price Level,Current Perception,Decreased,1.3
2025-05-01,Price Level,Current Perception,Decreased,2.5
2025-07-01,Price Level,Current Perception,Decreased,3.3
2024-07-01,Price Level,Current Perception,Net Response,-92.6
2024-09-01,Price Level,Current Perception,Net Response,-92.4
2024-11-01,Price Level,Current Perception,Net Response,-93.6
2025-01-01,Price Level,Current Perception,Net Response,-92.0
2025-03-01,Price Level,Current Perception,Net Response,-89.7
2025-05-01,Price Level,Current Perception,Net Response,-88.5
2025-07-01,Price Level,Current Perception,Net Response,-87.0
2024-07-01,Price Level,One year ahead Expectation,Will Increase,82.7
2024-09-01,Price Level,One year ahead Expectation,Will Increase,82.0
2024-11-01,Price Level,One year ahead Expectation,Will Increase,82.3
2025-01-01,Price Level,One year ahead Expectation,Will Increase,83.0
2025-03-01,Price Level,One year ahead Expectation,Will Increase,82.2
2025-05-01,Price Level,One year ahead Expectation,Will Increase,82.5
2025-07-01,Price Level,One year ahead Expectation,Will Increase,81.6
2024-07-01,Price Level,One year ahead Expectation,Will Remain Same,8.9
2024-09-01,Price Level,One year ahead Expectation,Will Remain Same,9.5
2024-11-01,Price Level,One year ahead Expectation,Will Remain Same,9.2
2025-01-01,Price Level,One year ahead Expectation,Will Remain Same,9.2
2025-03-01,Price Level,One year ahead Expectation,Will Remain Same,9.4
2025-05-01,Price Level,One year ahead Expectation,Will Remain Same,8.1
2025-07-01,Price Level,One year ahead Expectation,Will Remain Same,9.3
2024-07-01,Price Level,One year ahead Expectation,Will Decrease,8.4
2024-09-01,Price Level,One year ahead Expectation,Will Decrease,8.6
2024-11-01,Price Level,One year ahead Expectation,Will Decrease,8.5
2025-01-01,Price Level,One year ahead Expectation,Will Decrease,7.9
2025-03-01,Price Level,One year ahead Expectation,Will Decrease,8.4
2025-05-01,Price Level,One year ahead Expectation,Will Decrease,9.4
2025-07-01,Price Level,One year ahead Expectation,Will Decrease,9.1
2024-07-01,Price Level,One year ahead Expectation,Net Response,-74.3
2024-09-01,Price Level,One year ahead Expectation,Net Response,-73.3
2024-11-01,Price Level,One year ahead Expectation,Net Response,-73.8
2025-01-01,Price Level,One year ahead Expectation,Net Response,-75.1
2025-03-01,Price Level,One year ahead Expectation,Net Response,-73.8
2025-05-01,Price Level,One year ahead Expectation,Net Response,-73.1
2025-07-01,Price Level,One year ahead Expectation,Net Response,-72.4
2024-07-01,Rate of Change in Price Level (Inflation),Current Perception,Increased,80.6
2024-09-01,Rate of Change in Price Level (Inflation),Current Perception,Increased,80.7
2024-11-01,Rate of Change in Price Level (Inflation),Current Perception,Increased,82.5
2025-01-01,Rate of Change in Price Level (Inflation),Current Perception,Increased,80.7
2025-03-01,Rate of Change in Price Level (Inflation),Current Perception,Increased,79.4
2025-05-01,Rate of Change in Price Level (Inflation),Current Perception,Increased,78.0
2025-07-01,Rate of Change in Price Level (Inflation),Current Perception,Increased,78.7
2024-07-01,Rate of Change in Price Level (Inflation),Current Perception,Remained Same,13.4
2024-09-01,Rate of Change in Price Level (Inflation),Current Perception,Remained Same,13.0
2024-11-01,Rate of Change in Price Level (Inflation),Current Perception,Remained Same,12.1
2025-01-01,Rate of Change in Price Level (Inflation),Current Perception,Remained Same,12.9
2025-03-01,Rate of Change in Price Level (Inflation),Current Perception,Remained Same,14.0
2025-05-01,Rate of Change in Price Level (Inflation),Current Perception,Remained Same,14.8
2025-07-01,Rate of Change in Price Level (Inflation),Current Perception,Remained Same,12.5
